Using device: cuda
Loading models...
✓ All models loaded successfully
Starting metrics calculation for realistic prompt...
  Processing category: bottle
    ✔️ segmentation rep5: RCNN=0.992, YOLO=0.906
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.712, YOLO=0.352
    ✔️ bbox rep5: RCNN=0.686, YOLO=0.403
    ✔️ segmentation rep0: RCNN=0.678, YOLO=0.418
    ✔️ segmentation rep5: RCNN=0.714, YOLO=0.387
    ✔️ bbox rep0: RCNN=0.068, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.099, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.893, YOLO=0.892
    ✔️ segmentation rep5: RCNN=0.987, YOLO=0.756
    ✔️ bbox rep0: RCNN=0.994, YOLO=0.772
    ✔️ bbox rep5: RCNN=0.985, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.976, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.971, YOLO=0.525
    ✔️ bbox rep0: RCNN=0.562, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.159, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.632, YOLO=0.642
    ✔️ segmentation rep5: RCNN=0.945, YOLO=0.743
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.965, YOLO=0.746
    ✔️ segmentation rep0: RCNN=0.373, YOLO=0.442
    ✔️ segmentation rep5: RCNN=0.952, YOLO=0.392
    ✔️ bbox rep0: RCNN=0.753, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.130, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.982, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.176, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.264, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.424, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.938, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.277, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.111, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.143, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.142, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.202, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.108, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.993, YOLO=0.741
    ✔️ segmentation rep5: RCNN=0.993, YOLO=0.593
    ✔️ bbox rep0: RCNN=0.929, YOLO=0.473
    ✔️ bbox rep5: RCNN=0.901, YOLO=0.507
    ✔️ segmentation rep0: RCNN=0.930, YOLO=0.479
    ✔️ segmentation rep5: RCNN=0.903, YOLO=0.601
    ✔️ bbox rep0: RCNN=0.115, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.360, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.130, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.978, YOLO=0.688
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.955, YOLO=0.890
    ✔️ segmentation rep5: RCNN=0.972, YOLO=0.882
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.995, YOLO=0.869
    ✔️ segmentation rep5: RCNN=0.990, YOLO=0.884
    ✔️ bbox rep0: RCNN=0.989, YOLO=0.883
    ✔️ bbox rep5: RCNN=0.108, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.982, YOLO=0.660
    ✔️ segmentation rep5: RCNN=0.951, YOLO=0.457
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.074, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.160, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.147, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.989, YOLO=0.756
    ✔️ bbox rep0: RCNN=0.079, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.096, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.054, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.990, YOLO=0.836
    ✔️ bbox rep5: RCNN=0.986, YOLO=0.870
    ✔️ segmentation rep0: RCNN=0.992, YOLO=0.890
    ✔️ segmentation rep5: RCNN=0.987, YOLO=0.919
    ✔️ bbox rep0: RCNN=0.228, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.327, YOLO=0.623
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.988, YOLO=0.869
    ✔️ segmentation rep0: RCNN=0.995, YOLO=0.884
    ✔️ segmentation rep5: RCNN=0.939, YOLO=0.806
    ✔️ bbox rep0: RCNN=0.057, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.066, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.996, YOLO=0.855
    ✔️ segmentation rep5: RCNN=0.996, YOLO=0.781
    ✔️ bbox rep0: RCNN=0.914, YOLO=0.428
    ✔️ bbox rep5: RCNN=0.888, YOLO=0.659
    ✔️ segmentation rep0: RCNN=0.913, YOLO=0.798
    ✔️ segmentation rep5: RCNN=0.826, YOLO=0.586
    ✔️ bbox rep0: RCNN=0.078, YOLO=0.371
    ✔️ bbox rep5: RCNN=0.120, YOLO=0.479
    ✔️ segmentation rep0: RCNN=0.689, YOLO=0.808
    ✔️ segmentation rep5: RCNN=0.967, YOLO=0.859
    ✔️ bbox rep0: RCNN=0.805, YOLO=0.505
    ✔️ bbox rep5: RCNN=0.981, YOLO=0.843
    ✔️ segmentation rep0: RCNN=0.879, YOLO=0.882
    ✔️ segmentation rep5: RCNN=0.985, YOLO=0.750
    ✔️ bbox rep0: RCNN=0.912, YOLO=0.688
    ✔️ bbox rep5: RCNN=0.317, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.877, YOLO=0.299
    ✔️ segmentation rep5: RCNN=0.979, YOLO=0.628
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.081, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.056, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.212, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.853, YOLO=0.808
    ✔️ segmentation rep0: RCNN=0.986, YOLO=0.414
    ✔️ segmentation rep5: RCNN=0.489, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.074, YOLO=0.277
    ✔️ bbox rep5: RCNN=0.072, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.275, YOLO=0.275
    ✔️ segmentation rep5: RCNN=0.425, YOLO=0.304
    ✔️ bbox rep0: RCNN=0.968, YOLO=0.616
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.894, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.987, YOLO=0.952
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.960, YOLO=0.868
    ✔️ segmentation rep0: RCNN=0.981, YOLO=0.529
    ✔️ segmentation rep5: RCNN=0.998, YOLO=0.742
    ✔️ bbox rep0: RCNN=0.976, YOLO=0.656
    ✔️ bbox rep5: RCNN=0.857, YOLO=0.467
    ✔️ segmentation rep0: RCNN=0.990, YOLO=0.826
    ✔️ segmentation rep5: RCNN=0.990, YOLO=0.909
    ✔️ bbox rep0: RCNN=0.622, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.891, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.701, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.859, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.777, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.727, YOLO=0.759
    ✔️ segmentation rep0: RCNN=0.914, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.481, YOLO=0.602
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.181, YOLO=0.710
    ✔️ bbox rep5: RCNN=0.971, YOLO=0.770
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.667
    ✔️ segmentation rep5: RCNN=0.956, YOLO=0.862
    ✔️ bbox rep0: RCNN=0.766, YOLO=0.826
    ✔️ bbox rep5: RCNN=0.976, YOLO=0.465
    ✔️ segmentation rep0: RCNN=0.915, YOLO=0.342
    ✔️ segmentation rep5: RCNN=0.968, YOLO=0.783
    ✔️ bbox rep0: RCNN=0.954, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.917, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.972, YOLO=0.397
    ✔️ segmentation rep5: RCNN=0.936, YOLO=0.326
    ✔️ bbox rep0: RCNN=0.188, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.127, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.866, YOLO=0.617
    ✔️ segmentation rep5: RCNN=0.978, YOLO=0.836
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
